Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL EUR,Return %,Commission EUR,Favorable excursion EUR,Favorable excursion %,Adverse excursion EUR,Adverse excursion %,Cumulative PnL EUR,Cumulative PnL %,Duration (bars)
1,Exit short,2026-07-28 16:50,X,1.13806,7316.9,8317.047061,-8.81,-0.12,0,8.88,0.12,-8.81,-0.12,-8.81,-0.88,82
1,Entry short,2026-07-28 10:00,A SW upd Z:1H K:S,1.13669,7316.9,8317.047061,-8.81,-0.12,0,8.88,0.12,-8.81,-0.12,-8.81,-0.88,82
